Rank,Date of Information,col1
1,2018 est.,2018 est. 20.27
2,2018 est.,2018 est. 13.27
3,2018 est.,2018 est. 10.31
4,2018 est.,2018 est. 9.24
5,2018 est.,2018 est. 8.99
6,2018 est.,2018 est. 8.72
7,2018 est.,2018 est. 7.32
8,2018 est.,2018 est. 6.92
9,2018 est.,2018 est. 6.46
10,2018 est.,2018 est. 6.19
11,2018 est.,2018 est. 5.81
12,2018 est.,2018 est. 4.81
13,2018 est.,2018 est. 4.56
14,2018 est.,2018 est. 4.54
15,2018 est.,2018 est. 4.45
16,2018 est.,2018 est. 4.41
17,2018 est.,2018 est. 4.34
18,2018 est.,2018 est. 3.96
19,2018 est.,2018 est. 3.81
20,2018 est.,2018 est. 3.75
21,2018 est.,2018 est. 3.51
22,2018 est.,2018 est. 3.34
23,2018 est.,2018 est. 3.17
24,2018 est.,2018 est. 3.01
25,2015 est.,2015 est. 2.65
26,2018 est.,2018 est. 2.60
27,2018 est.,2018 est. 2.50
28,2018 est.,2018 est. 2.47
29,2018 est.,2018 est. 2.36
30,2018 est.,2018 est. 2.25
31,2018 est.,2018 est. 2.24
32,2018 est.,2018 est. 2.19
33,2018 est.,2018 est. 2.08
34,2016 est.,2016 est. 2.04
35,2018 est.,2018 est. 2.02
36,2018 est.,2018 est. 1.90
37,2018 est.,2018 est. 1.89
38,2018 est.,2018 est. 1.69
39,2018 est.,2018 est. 1.61
40,2018 est.,2018 est. 1.57
41,2018 est.,2018 est. 1.56
42,2018 est.,2018 est. 1.52
43,2018 est.,2018 est. 1.49
44,2018 est.,2018 est. 1.48
45,2018 est.,2018 est. 1.46
46,2018 est.,2018 est. 1.39
47,2018 est.,2018 est. 1.30
48,2018 est.,2018 est. 1.30
49,2018 est.,2018 est. 1.26
50,2018 est.,2018 est. 1.21
51,2018 est.,2018 est. 1.12
52,2018 est.,2018 est. 1.02
53,2018 est.,2018 est. 1.02
54,2018 est.,2018 est. 0.91
55,2018 est.,2018 est. 0.85
56,2018 est.,2018 est. 0.85
57,2018 est.,2018 est. 0.84
58,2018 est.,2018 est. 0.82
59,2018 est.,2018 est. 0.78
60,2018 est.,2018 est. 0.68
61,2018 est.,2018 est. 0.62
62,2018 est.,2018 est. 0.60
63,2018 est.,2018 est. 0.59
64,2018 est.,2018 est. 0.54
65,2018 est.,2018 est. 0.50
66,2018 est.,2018 est. 0.49
67,2018 est.,2018 est. 0.49
68,2018 est.,2018 est. 0.47
69,2018 est.,2018 est. 0.45
70,2018 est.,2018 est. 0.43
71,2018 est.,2018 est. 0.39
72,2018 est.,2018 est. 0.38
73,2018 est.,2018 est. 0.38
74,2018 est.,2018 est. 0.36
75,2018 est.,2018 est. 0.36
76,2018 est.,2018 est. 0.34
77,2018 est.,2018 est. 0.34
78,2018 est.,2018 est. 0.33
79,2018 est.,2018 est. 0.31
80,2018 est.,2018 est. 0.31
81,2018 est.,2018 est. 0.29
82,2018 est.,2018 est. 0.28
83,2018 est.,2018 est. 0.27
84,2018 est.,2018 est. 0.27
85,2018 est.,2018 est. 0.26
86,2018 est.,2018 est. 0.26
87,2018 est.,2018 est. 0.26
88,2018 est.,2018 est. 0.23
89,2018 est.,2018 est. 0.22
90,2018 est.,2018 est. 0.22
91,2018 est.,2018 est. 0.21
92,2018 est.,2018 est. 0.21
93,2018 est.,2018 est. 0.20
94,2018 est.,2018 est. 0.20
95,2018 est.,2018 est. 0.18
96,2018 est.,2018 est. 0.18
97,2017 est.,2017 est. 0.17
98,2018 est.,2018 est. 0.17
99,2018 est.,2018 est. 0.16
100,2018 est.,2018 est. 0.15
101,2018 est.,2018 est. 0.15
102,2018 est.,2018 est. 0.15
103,2018 est.,2018 est. 0.14
104,2018 est.,2018 est. 0.14
105,2018 est.,2018 est. 0.13
106,2018 est.,2018 est. 0.13
107,2018 est.,2018 est. 0.13
108,2018 est.,2018 est. 0.13
109,2018 est.,2018 est. 0.12
110,2018 est.,2018 est. 0.10
111,2018 est.,2018 est. 0.10
112,2018 est.,2018 est. 0.10
113,2018 est.,2018 est. 0.10
114,2018 est.,2018 est. 0.10
115,2018 est.,2018 est. 0.09
116,2018 est.,2018 est. 0.09
117,2018 est.,2018 est. 0.08
118,2018 est.,2018 est. 0.08
119,2018 est.,2018 est. 0.08
120,2018 est.,2018 est. 0.08
121,2018 est.,2018 est. 0.08
122,2018 est.,2018 est. 0.07
123,2018 est.,2018 est. 0.07
124,2018 est.,2018 est. 0.06
125,2018 est.,2018 est. 0.06
126,2018 est.,2018 est. 0.06
127,2018 est.,2018 est. 0.05
128,2018 est.,2018 est. 0.05
129,2018 est.,2018 est. 0.05
130,2018 est.,2018 est. 0.04
131,2018 est.,2018 est. 0.04
132,2018 est.,2018 est. 0.04
133,2018 est.,2018 est. 0.03
134,2018 est.,2018 est. 0.03
135,2018 est.,2018 est. 0.03
136,2018 est.,2018 est. 0.03
137,2018 est.,2018 est. 0.03
138,2018 est.,2018 est. 0.02
139,2018 est.,2018 est. 0.02
140,2018 est.,2018 est. 0.02
141,2018 est.,2018 est. 0.02
142,2018 est.,2018 est. 0.02
143,2018 est.,2018 est. 0.02
144,2018 est.,2018 est. 0.02
145,2018 est.,2018 est. 0.02
146,2018 est.,2018 est. 0.01
147,2018 est.,2018 est. 0.01
148,2018 est.,2018 est. 0.01
149,2017 est.,2017 est. 0.01
150,2018 est.,2018 est. 0.01
151,2018 est.,2018 est. 0.01
152,2018 est.,2018 est. 0.01
153,2018 est.,2018 est. 0.01
154,2018 est.,2018 est. 0.01
155,2018 est.,2018 est. 0.01
156,2018 est.,2018 est. 0.01
157,2018 est.,2018 est. 0.01
158,2018 est.,2018 est. 0.01
159,2018 est.,2018 est. 0.00
160,2018 est.,2018 est. 0.00
161,2018 est.,2018 est. 0.00
162,2017 est.,2017 est. 0.00
163,2018 est.,2018 est. 0.00
164,2018 est.,2018 est. 0.00
165,2018 est.,2018 est. 0.00
166,2018 est.,2018 est. 0.00
167,2017 est.,2017 est. 0.00
168,2018 est.,2018 est. 0.00
169,2018 est.,2018 est. 0.00
170,2018 est.,2018 est. 0.00
171,2018 est.,2018 est. 0.00
172,2018 est.,2018 est. 0.00
173,2018 est.,2018 est. 0.00
174,2018 est.,2018 est. 0.00
175,2017 est.,2017 est. 0.00
176,2018 est.,2018 est. 0.00
177,2018 est.,2018 est. 0.00
178,2018 est.,2018 est. 0.00
179,2018 est.,2018 est. 0.00
180,2018 est.,2018 est. 0.00
181,2017 est.,2017 est. 0.00
182,2018 est.,2018 est. 0.00
183,2018 est.,2018 est. 0.00
184,2018 est.,2018 est. 0.00
185,2018 est.,2018 est. 0.00
186,2018 est.,2018 est. 0.00
187,2018 est.,2018 est. 0.00
188,2018 est.,2018 est. 0.00
189,2018 est.,2018 est. 0.00
190,2018 est.,2018 est. 0.00
191,2018 est.,2018 est. 0.00
192,2018 est.,2018 est. 0.00
193,2018 est.,2018 est. 0.00
194,2018 est.,2018 est. 0.00
195,2018 est.,2018 est. 0.00
196,2018 est.,2018 est. 0.00
197,2018 est.,2018 est. 0.00
198,2018 est.,2018 est. 0.00
199,2018 est.,2018 est. 0.00
200,2018 est.,2018 est. 0.00
201,2018 est.,2018 est. 0.00
202,2018 est.,2018 est. 0.00
203,2017 est.,2017 est. 0.00
204,2018 est.,2018 est. 0.00
